Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
554,6.1320,3.7500,3.5000,0.2280,5.4970,-4.8460,-0.1780,-0.5170,6.7580,2.2830,6.8250,3.0580
928,-0.4870,-0.6020,0.2880,-0.2360,-0.5580,-1.4540,-0.7270,-2.7030,-1.0850,-1.3280,-1.5150,-0.5400
242,-2.1070,-2.6680,1.1440,-3.8870,-4.5590,-6.8350,-3.4530,-18.5750,-9.5200,-10.6490,-15.1250,-6.8330
540,-10.8530,6.3120,7.4520,1.7950,10.9950,-2.0100,-2.8670,0.7550,5.6140,6.1750,5.0910,5.3000
598,-0.0750,-0.8100,-0.4180,0.2600,-0.5610,-0.5470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,4.0200,4.8320,3.8420,3.0970,2.4410,0.2960,0.0000,-1.2900,-0.5900,-0.3570,0.0000,0.0000
548,0.1600,0.1580,0.7480,-0.7360,2.9340,0.7370,-5.0690,-3.6520,-0.0810,-8.0370,0.0000,0.0000
954,-5.9110,-5.3920,-2.1880,-1.6420,-8.0800,-3.0670,7.0540,5.0800,-2.2770,-9.6790,-9.5240,-9.5870
316,-11.7850,-13.3230,-5.9520,-2.7840,-4.9920,-2.6860,-0.2090,0.7940,-4.5760,-6.4490,0.9820,0.0000
583,0.0000,0.0000,0.0000,0.0000,-25.6780,-1.6110,0.0000,-5.4090,-4.3900,-25.4140,-17.9440,-16.3280
957,-6.9770,-9.6500,-5.2640,-6.5340,-12.6320,-11.4180,-12.3740,-12.3250,-10.7520,-9.1480,-9.6060,-8.4920
258,-0.2640,-5.4220,-1.7140,1.3570,3.6230,6.0430,3.8770,-1.1730,-0.5100,2.8440,-0.3100,-0.3140
882,-5.7850,-2.6420,-5.3230,-7.5070,-17.1440,-19.8400,-25.8640,-20.6170,-15.8060,-17.3660,-20.0750,-17.3270
776,-6.2960,-16.8480,0.3030,-7.9300,-17.6830,-17.4010,-26.8360,-23.0620,-23.2010,-17.9550,-16.3510,-15.9930
